epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5404.75,0.95029,0.61837,1.52576,0.95996,0.96352,0.98683,0.82272,0.72816,0.50636,1.51359,0.003763,0.003763,0.003763
65,5566,0.93982,0.61486,1.5246,0.95867,0.96506,0.9866,0.82323,0.72559,0.50392,1.51043,0.003664,0.003664,0.003664
66,5646.88,0.93548,0.60972,1.52433,0.95647,0.96433,0.98531,0.82254,0.72137,0.50298,1.5136,0.003565,0.003565,0.003565
67,5729.14,0.93109,0.61016,1.52825,0.95868,0.96547,0.98705,0.82547,0.71929,0.49874,1.50804,0.003466,0.003466,0.003466
68,5812.56,0.92814,0.61015,1.51273,0.95849,0.96383,0.98594,0.82631,0.71626,0.50049,1.50281,0.003367,0.003367,0.003367
69,5895.79,0.92384,0.60635,1.51724,0.96065,0.96525,0.98721,0.82826,0.71208,0.4959,1.49961,0.003268,0.003268,0.003268
70,5978.96,0.91544,0.60144,1.51789,0.95979,0.96461,0.98651,0.82836,0.71264,0.49585,1.50784,0.003169,0.003169,0.003169
71,6061.77,0.91258,0.59709,1.51713,0.9613,0.9658,0.9874,0.82854,0.71408,0.49451,1.50455,0.00307,0.00307,0.00307
72,6145.56,0.90776,0.5984,1.51683,0.96051,0.9658,0.98649,0.82946,0.71011,0.49296,1.50278,0.002971,0.002971,0.002971
73,6230.7,0.90848,0.59669,1.51134,0.95926,0.96668,0.98694,0.83096,0.70685,0.49011,1.50168,0.002872,0.002872,0.002872
74,6316.01,0.90246,0.59321,1.51545,0.95885,0.96706,0.98656,0.83045,0.706,0.48923,1.50287,0.002773,0.002773,0.002773
75,6402.08,0.89787,0.59126,1.51813,0.95997,0.96725,0.98747,0.83145,0.70351,0.48797,1.49885,0.002674,0.002674,0.002674
76,6800.66,0.90013,0.59261,1.51301,0.96086,0.96539,0.98749,0.83113,0.70228,0.4861,1.50334,0.002575,0.002575,0.002575
77,6883.82,0.88829,0.58453,1.50289,0.95875,0.96716,0.98733,0.83195,0.70177,0.48523,1.49918,0.002476,0.002476,0.002476
78,6969.29,0.8881,0.58415,1.52023,0.96128,0.96782,0.98747,0.83326,0.69899,0.48288,1.50417,0.002377,0.002377,0.002377
79,7055.03,0.88248,0.58312,1.51468,0.96034,0.96912,0.98781,0.83259,0.69567,0.48021,1.50517,0.002278,0.002278,0.002278
80,7140.05,0.87893,0.58017,1.51504,0.96017,0.96685,0.98816,0.8321,0.69771,0.48028,1.50301,0.002179,0.002179,0.002179
81,7225.54,0.8744,0.57577,1.50779,0.95875,0.96767,0.98821,0.83341,0.69631,0.47875,1.50276,0.00208,0.00208,0.00208
82,7314.75,0.87004,0.5741,1.50859,0.95853,0.96765,0.98803,0.8328,0.69402,0.47716,1.50268,0.001981,0.001981,0.001981
83,7399.09,0.87505,0.57752,1.50482,0.95812,0.96689,0.98817,0.83363,0.69184,0.47625,1.50215,0.001882,0.001882,0.001882
84,7482.93,0.86244,0.56874,1.50572,0.96201,0.96457,0.98863,0.83459,0.6896,0.47519,1.50254,0.001783,0.001783,0.001783
85,7567.03,0.86102,0.56811,1.50792,0.96153,0.96596,0.98865,0.83568,0.6894,0.47329,1.50132,0.001684,0.001684,0.001684
86,7651.19,0.85417,0.56319,1.50752,0.96314,0.9655,0.98851,0.83636,0.68779,0.47187,1.50178,0.001585,0.001585,0.001585
87,7735.4,0.85635,0.56499,1.51043,0.96196,0.96577,0.98874,0.83724,0.68626,0.47022,1.50076,0.001486,0.001486,0.001486
88,7820.33,0.85118,0.56155,1.49923,0.96269,0.96656,0.98876,0.83757,0.68539,0.46821,1.50111,0.001387,0.001387,0.001387
